# wavelength(um) transit_depth error
4.90312238e+01 3.28656153e-04 1.00000000e-05
4.90279553e+01 3.30143503e-04 1.00000000e-05
4.90246870e+01 3.37618513e-04 1.00000000e-05
4.90214189e+01 3.22576735e-04 1.00000000e-05
4.90181510e+01 3.27852577e-04 1.00000000e-05
4.90148834e+01 3.36885206e-04 1.00000000e-05
4.90116159e+01 3.19363333e-04 1.00000000e-05
4.90083487e+01 3.17420014e-04 1.00000000e-05
4.90050817e+01 3.36314451e-04 1.00000000e-05
4.90018149e+01 3.23957267e-04 1.00000000e-05
4.89985483e+01 3.17440116e-04 1.00000000e-05
4.89952820e+01 3.18689550e-04 1.00000000e-05
4.89920159e+01 3.29808705e-04 1.00000000e-05
4.89887499e+01 3.15199602e-04 1.00000000e-05
4.89854842e+01 3.21818704e-04 1.00000000e-05
4.89822188e+01 3.14550530e-04 1.00000000e-05
4.89789535e+01 3.21484104e-04 1.00000000e-05
4.89756885e+01 3.32669420e-04 1.00000000e-05
4.89724236e+01 3.28927793e-04 1.00000000e-05
4.89691590e+01 3.24487683e-04 1.00000000e-05
4.89658946e+01 3.34517591e-04 1.00000000e-05
4.89626304e+01 3.18659232e-04 1.00000000e-05
4.89593665e+01 3.36511406e-04 1.00000000e-05
4.89561027e+01 3.19207853e-04 1.00000000e-05
4.89528392e+01 3.33541054e-04 1.00000000e-05
4.89495759e+01 3.20124266e-04 1.00000000e-05
4.89463128e+01 3.45332021e-04 1.00000000e-05
4.89430500e+01 3.33734368e-04 1.00000000e-05
4.89397873e+01 3.14065878e-04 1.00000000e-05
4.89365249e+01 3.42904118e-04 1.00000000e-05
4.89332627e+01 3.09659139e-04 1.00000000e-05
4.89300007e+01 3.12790079e-04 1.00000000e-05
4.89267389e+01 3.67691768e-04 1.00000000e-05
4.89234773e+01 3.43570866e-04 1.00000000e-05
4.89202160e+01 3.27190710e-04 1.00000000e-05
4.89169548e+01 3.51659327e-04 1.00000000e-05
4.89136939e+01 3.24657072e-04 1.00000000e-05
4.89104332e+01 3.22329288e-04 1.00000000e-05
4.89071727e+01 3.36747358e-04 1.00000000e-05
4.89039125e+01 3.27133534e-04 1.00000000e-05
4.89006524e+01 3.46484034e-04 1.00000000e-05
4.88973926e+01 3.34810931e-04 1.00000000e-05
4.88941330e+01 3.40329773e-04 1.00000000e-05
4.88908736e+01 3.20561398e-04 1.00000000e-05
4.88876144e+01 3.28416924e-04 1.00000000e-05
4.88843555e+01 3.54128860e-04 1.00000000e-05
4.88810967e+01 3.58589414e-04 1.00000000e-05
4.88778382e+01 3.36095012e-04 1.00000000e-05
4.88745799e+01 3.30538137e-04 1.00000000e-05
4.88713218e+01 3.28256099e-04 1.00000000e-05
4.88680640e+01 3.15476979e-04 1.00000000e-05
4.88648063e+01 3.27262362e-04 1.00000000e-05
4.88615489e+01 3.16919105e-04 1.00000000e-05
4.88582916e+01 3.06731318e-04 1.00000000e-05
4.88550346e+01 3.14526241e-04 1.00000000e-05
4.88517779e+01 3.18294597e-04 1.00000000e-05
4.88485213e+01 3.28844271e-04 1.00000000e-05
4.88452649e+01 3.32896371e-04 1.00000000e-05
4.88420088e+01 3.27483993e-04 1.00000000e-05
4.88387529e+01 3.21593549e-04 1.00000000e-05
4.88354972e+01 3.19071348e-04 1.00000000e-05
4.88322417e+01 3.11452702e-04 1.00000000e-05
4.88289864e+01 3.33556529e-04 1.00000000e-05
4.88257314e+01 3.53807852e-04 1.00000000e-05
4.88224766e+01 3.29799048e-04 1.00000000e-05
4.88192219e+01 3.12499806e-04 1.00000000e-05
4.88159675e+01 3.36230473e-04 1.00000000e-05
4.88127134e+01 3.33907332e-04 1.00000000e-05
4.88094594e+01 3.17531388e-04 1.00000000e-05
4.88062057e+01 3.22561215e-04 1.00000000e-05
4.88029521e+01 3.23829570e-04 1.00000000e-05
4.87996988e+01 3.16636804e-04 1.00000000e-05
4.87964457e+01 3.23057252e-04 1.00000000e-05
4.87931928e+01 3.17497513e-04 1.00000000e-05
4.87899402e+01 3.38564843e-04 1.00000000e-05
4.87866877e+01 3.12658605e-04 1.00000000e-05
4.87834355e+01 3.18304571e-04 1.00000000e-05
4.87801835e+01 3.31280153e-04 1.00000000e-05
4.87769317e+01 3.52480162e-04 1.00000000e-05
4.87736801e+01 3.34887142e-04 1.00000000e-05
4.87704288e+01 3.50099326e-04 1.00000000e-05
4.87671776e+01 3.20579445e-04 1.00000000e-05
4.87639267e+01 3.28797857e-04 1.00000000e-05
4.87606760e+01 3.23852304e-04 1.00000000e-05
4.87574255e+01 3.49096606e-04 1.00000000e-05
4.87541752e+01 3.16578821e-04 1.00000000e-05
4.87509251e+01 3.19958341e-04 1.00000000e-05
4.87476753e+01 3.19524093e-04 1.00000000e-05
4.87444257e+01 3.08259367e-04 1.00000000e-05
4.87411762e+01 3.40983971e-04 1.00000000e-05
4.87379271e+01 3.29912553e-04 1.00000000e-05
4.87346781e+01 3.42200141e-04 1.00000000e-05
4.87314293e+01 3.34413202e-04 1.00000000e-05
4.87281808e+01 3.47453568e-04 1.00000000e-05
4.87249324e+01 3.37668827e-04 1.00000000e-05
4.87216843e+01 3.25611788e-04 1.00000000e-05
4.87184364e+01 3.16572792e-04 1.00000000e-05
4.87151887e+01 3.24955400e-04 1.00000000e-05
4.87119413e+01 3.04762126e-04 1.00000000e-05
4.87086940e+01 3.51525631e-04 1.00000000e-05
